codval,srtseq,reaflg,alctyp,cyc_cnt_cod,defflg,rftflg,voc_cod,moddte,mod_usr_id,reuse_locflg,unassign_flg,stage_shpflg,ena_ems_flg
"CANCEL-SHPALOCOPR-REALLOC",4,0,"","N",0,0,10,"","",0,0,0,1
"CANCEL-SHPALOCOPR-UNALLOC",5,0,"","N",0,0,11,"","",0,0,0,1
"CANCEL-WKO",3,0,"","N",0,0,8,"","",0,0,0,1
"C-NO-RA",10,0,"","N",0,0,100,"20200323134838","939370",0,0,0,1
"C-RA",3,1,"PICK-N-REPLEN-N-SHIP","N",1,1,4,"20200323135121","939370",0,0,0,1
"C-RP",2,1,"REPLEN","N",0,0,2,"20200323135121","939370",0,0,0,1
"C-R-R-L",4,1,"PICK-N-REPLEN-N-SHIP","N",0,0,5,"20200323135121","939370",1,0,0,1
"C-T",1,1,"TOPOFF-REPLEN","N",0,0,1,"20200323135121","939370",0,0,0,1
"SYS-CANCEL-NO-REALLOC",8,0,"","N",0,0,98,"","",0,0,0,1
"SYS-CANCEL-REALLOC",9,1,"PICK-N-REPLEN-N-SHIP","N",0,0,99,"","",1,0,0,1
