doc_typ,doc_typ_arg,rqdflg,moddte,mod_usr_id
"bolrpt","car_move_id",0,"",""
"bolrpt","doc_num",0,"",""
"bolrpt","ship_id",0,"",""
"bolrpt","stop_id",0,"",""
"bolrpt","track_num",0,"",""
"bolrpt","trlr_num",0,"",""
"clulbl","ctnnum",0,"",""
"ctnlbl","crtnid",0,"",""
"ctnlbl","lodnum",0,"",""
"ctnlbl","subnum",0,"",""
"cust_ctnlbl","wrkref",0,"",""
"cust_pallbl","wrkref",0,"",""
"cust_shplbl","wrkref",0,"",""
"dckdrprcvrpt","carcod",0,"",""
"dckdrprcvrpt","trknum",0,"",""
"dckdrprcvrpt","trlr_num",0,"",""
"loadstoprpt","car_move_id",0,"",""
"loadstoprpt","stop_id",0,"",""
"loclbl","stoloc",0,"",""
"pallbl","lodnum",0,"",""
"pckshplbl","wrkref",0,"",""
"pckslprpt","car_move_id",0,"",""
"pckslprpt","client_id",0,"",""
"pckslprpt","ordnum",0,"",""
"pckslprpt","ship_id",0,"",""
"pckslprpt","stop_id",0,"",""
"pckslprpt","wh_id",0,"",""
"prtlbl","prt_client_id",0,"",""
"prtlbl","prtnum",0,"",""
"prtlbl","subnum",0,"",""
"putostore_ctnlbl","subnum",0,"",""
"rcvrpt","carcod",0,"",""
"rcvrpt","trknum",0,"",""
"rcvrpt","trlr_num",0,"",""
"sedrpt","ship_id",0,"",""
"shpaptrpt","car_move_id",0,"",""
"shplbl","ship_id",0,"",""
"shplbl","wrkref",0,"",""
"USR-RFH001-FFDELIVER","lodnum",1,"20180919081917","939370"
"USR-RFH002","lodnum",1,"20180911163136","RAOUL"
"USR-RFH003","lodnum",1,"20200212113802","939370"
"USR-RFH007","lodnum",1,"20210726161407","939370"
"USR-RFH009","wkonum",1,"20230406150943","938673"
"USR-RFH010","wkonum",1,"20230414105009","938673"
