slot_typ_id,asset_typ,asset_slot_code,slot_asset_typ,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
1,"1-1S","1","19-H1200","20200513105107","20200513105107","938673","938673"
2,"1-1S","2","19-H1200","20200513105107","20200513105107","938673","938673"
3,"1-2S","1","19-H800","20200513105528","20200513105528","938673","938673"
4,"1-2S","2","19-H800","20200513105528","20200513105528","938673","938673"
5,"1-2S","3","19-H800","20200513105528","20200513105528","938673","938673"
6,"1-3S","1","19-H600","20230104162820","20230104162820","939370","939370"
7,"1-3S","2","19-H600","20230104162820","20230104162820","939370","939370"
8,"1-3S","3","19-H600","20230104162820","20230104162820","939370","939370"
9,"1-3S","4","19-H600","20230104162820","20230104162820","939370","939370"
