prdlin,wh_id,excl_flg,prcare,plan_typ,stgloc,num_people,speed,actcod,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"H135LINE01","1",0,"H135","SEQ","H135-901-01",0,0,"","20230309135818","20230309140054","938673","938673"
"H135LINE02","1",0,"H135","SEQ","H135-901-02",0,0,"","20230309140128","20230309140258","938673","938673"
"H135LINE03","1",0,"H135","SEQ","H135-901-03",0,0,"","20230309140214","20230309140214","938673","938673"
"H135LINE04","1",0,"H135","SEQ","H135-901-04",0,0,"","20230309140248","20230309140248","938673","938673"
"H135LINE05","1",0,"H135","SEQ","H135-901-05",0,0,"","20230309140330","20230309140330","938673","938673"
"H135LINE06","1",0,"H135","SEQ","H135-901-06",0,0,"","20230309140426","20230309140426","938673","938673"
"H135LINE07","1",0,"H135","SEQ","H135-901-07",0,0,"","20230309140501","20230309140501","938673","938673"
"H135LINE08","1",0,"H135","SEQ","H135-901-08",0,0,"","20230309140527","20230309140527","938673","938673"
"H135LINE09","1",0,"H135","SEQ","H135-901-09",0,0,"","20230309140552","20230309140552","938673","938673"
"H135LINE10","1",0,"H135","SEQ","H135-901-10",0,0,"","20230309140626","20230309140626","938673","938673"
