wrkare,wh_id,prithr,hmemaxprithr,maxprithr,voc_cod,dist_thresh,moddte,mod_usr_id,is_purged
"WA-1-001","1",30,55,20,0,0.0,"20181024161923","940028",0
"WA-2-001","1",50,90,20,0,0.0,"20210412000000","938673",0
"WA-2-002","1",50,90,20,0,0.0,"20221108143541","939370",0
"WA-2-003","1",50,90,20,0,0.0,"20221108143541","939370",0
"WA-2-004","1",50,90,20,0,0.0,"20221108143541","939370",0
"WA-2-005","1",50,90,20,0,0.0,"20230130113444","939370",0
"WA-2-006","1",50,90,20,0,0.0,"20230503165648","939370",0
"WA-2-007","1",50,90,20,0,0.0,"20231016132906","939370",0
"WA-3-001","1",50,90,20,0,0.0,"20210412000000","938673",0
"WA-3-002","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-003","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-004","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-005","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-006","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-007","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-008","1",50,90,20,0,0.0,"20230606162732","939370",0
"WA-3-009","1",50,90,20,0,0.0,"20230608113504","939370",0
"WA-3-010","1",50,90,20,0,0.0,"20230608113504","939370",0
"WA-5-001","1",50,90,20,0,0.0,"20230310000000","938673",0
"WLOGICAL","1",0,0,0,0,0,"20181023123939","SUPER",0
